as_of_date,label_date,availability_date,feature_id,security_id,sector,raw_value,feature_value,forward_5d_return,missing_flag,duplicate_flag,restated_flag,point_in_time_violation
2025-10-22,2025-10-29,2025-10-24,FEAT001,SEC001,Technology,0.70816,0.70816,0.05061,0,0,0,0
2025-10-23,2025-10-30,2025-10-25,FEAT001,SEC001,Technology,0.43951,0.43951,-0.01537,0,0,0,0
2025-10-24,2025-10-31,2025-10-27,FEAT001,SEC001,Technology,-0.0045,-0.0045,-0.04865,0,0,1,0
2025-10-27,2025-11-03,2025-10-27,FEAT001,SEC001,Technology,-0.4411,-0.4411,0.02658,0,0,0,0
2025-10-28,2025-11-04,2025-10-28,FEAT001,SEC001,Technology,-0.12092,-0.12092,0.0389,0,0,0,0
2025-10-29,2025-11-05,2025-10-29,FEAT001,SEC001,Technology,-0.19581,-0.19581,0.00699,0,0,0,0
2025-10-30,2025-11-06,2025-10-30,FEAT001,SEC001,Technology,-0.09339,-0.09339,-0.03503,0,0,0,0
2025-10-31,2025-11-07,2025-11-01,FEAT001,SEC001,Technology,-0.03512,-0.03512,-0.01491,0,0,0,0
2025-11-03,2025-11-10,2025-11-03,FEAT001,SEC001,Technology,-0.11544,-0.11544,-0.00504,0,0,0,0
2025-11-04,2025-11-11,2025-11-04,FEAT001,SEC001,Technology,0.35346,0.35346,0.00904,0,0,0,0
2025-11-05,2025-11-12,2025-11-05,FEAT001,SEC001,Technology,0.46435,0.46435,0.03975,0,0,0,0
2025-11-06,2025-11-13,2025-11-06,FEAT001,SEC001,Technology,0.63394,0.63394,0.09914,0,0,0,0
2025-11-07,2025-11-14,2025-11-07,FEAT001,SEC001,Technology,0.60439,0.60439,0.03903,0,0,0,0
2025-11-10,2025-11-17,2025-11-11,FEAT001,SEC001,Technology,0.61681,0.61681,0.07153,0,0,0,0
2025-11-11,2025-11-18,2025-11-11,FEAT001,SEC001,Technology,0.56761,0.56761,0.06615,0,0,0,0
2025-11-12,2025-11-19,2025-11-14,FEAT001,SEC001,Technology,0.58736,0.58736,0.01559,0,0,0,0
2025-11-13,2025-11-20,2025-11-13,FEAT001,SEC001,Technology,0.66635,0.66635,0.01443,0,0,0,0
2025-11-14,2025-11-21,2025-11-15,FEAT001,SEC001,Technology,0.7073,0.7073,0.09263,0,0,0,0
2025-11-17,2025-11-24,2025-11-18,FEAT001,SEC001,Technology,0.74042,0.74042,0.1098,0,0,0,0
2025-11-18,2025-11-25,2025-11-20,FEAT001,SEC001,Technology,,,0.08112,1,0,0,0
2025-11-19,2025-11-26,2025-11-20,FEAT001,SEC001,Technology,0.86788,0.86788,0.0102,0,0,0,0
2025-11-20,2025-11-27,2025-11-20,FEAT001,SEC001,Technology,0.55995,0.55995,0.0387,0,0,0,0
2025-11-21,2025-11-28,2025-11-23,FEAT001,SEC001,Technology,0.00353,0.00353,0.06357,0,0,0,0
2025-11-24,2025-12-01,2025-11-25,FEAT001,SEC001,Technology,-0.13455,-0.13455,0.00649,0,0,0,0
2025-11-25,2025-12-02,2025-11-26,FEAT001,SEC001,Technology,-0.16288,-0.16288,-0.06527,0,0,0,0
2025-11-26,2025-12-03,2025-11-27,FEAT001,SEC001,Technology,-0.75353,-0.75353,-0.04322,0,0,0,0
2025-11-27,2025-12-04,2025-11-27,FEAT001,SEC001,Technology,-0.11048,-0.11048,0.01317,0,0,0,0
2025-11-28,2025-12-05,2025-11-28,FEAT001,SEC001,Technology,-0.23089,-0.23089,0.00837,0,0,0,0
2025-12-01,2025-12-08,2025-12-02,FEAT001,SEC001,Technology,-0.27167,-0.27167,-0.0688,0,0,0,0
2025-12-02,2025-12-09,2025-12-02,FEAT001,SEC001,Technology,0.13701,0.13701,-0.02476,0,0,0,0
2025-12-03,2025-12-10,2025-12-04,FEAT001,SEC001,Technology,0.16482,0.16482,0.02064,0,0,0,0
2025-12-04,2025-12-11,2025-12-05,FEAT001,SEC001,Technology,0.04904,0.04904,-0.01827,0,0,0,0
2025-12-05,2025-12-12,2025-12-07,FEAT001,SEC001,Technology,-0.20952,-0.20952,0.0302,0,0,0,0
2025-12-08,2025-12-15,2025-12-09,FEAT001,SEC001,Technology,-0.33675,-0.33675,0.01286,0,0,0,0
2025-12-09,2025-12-16,2025-12-09,FEAT001,SEC001,Technology,0.228,0.228,0.05814,0,0,0,0
2025-12-10,2025-12-17,2025-12-12,FEAT001,SEC001,Technology,0.3258,0.3258,0.03187,0,0,0,0
2025-12-11,2025-12-18,2025-12-11,FEAT001,SEC001,Technology,0.55686,0.55686,-0.02338,0,0,0,0
2025-12-12,2025-12-19,2025-12-12,FEAT001,SEC001,Technology,0.56101,0.56101,-0.02906,0,0,0,0
2025-12-15,2025-12-22,2025-12-16,FEAT001,SEC001,Technology,0.79694,0.79694,0.0531,0,0,0,0
2025-12-16,2025-12-23,2025-12-16,FEAT001,SEC001,Technology,0.56839,0.56839,-0.01368,0,0,0,0
2025-12-17,2025-12-24,2025-12-17,FEAT001,SEC001,Technology,0.19491,0.19491,0.0419,0,0,0,0
2025-12-18,2025-12-25,2025-12-21,FEAT001,SEC001,Technology,0.503,0.503,-0.02084,0,0,0,0
2025-12-19,2025-12-26,2025-12-19,FEAT001,SEC001,Technology,0.11628,0.11628,0.01948,0,0,0,0
2025-12-22,2025-12-29,2025-12-22,FEAT001,SEC001,Technology,0.17309,0.17309,0.06445,0,0,0,0
2025-12-23,2025-12-30,2025-12-24,FEAT001,SEC001,Technology,0.23481,0.23481,0.05212,0,0,0,0
2025-12-24,2025-12-31,2025-12-25,FEAT001,SEC001,Technology,0.2329,0.2329,0.01512,0,0,0,0
2025-12-25,2026-01-01,2025-12-26,FEAT001,SEC001,Technology,0.083,0.083,0.00164,0,0,0,0
2025-12-26,2026-01-02,2025-12-26,FEAT001,SEC001,Technology,0.02803,0.02803,-0.01468,0,0,0,0
2025-12-29,2026-01-05,2025-12-31,FEAT001,SEC001,Technology,0.14339,0.14339,0.02842,0,0,0,0
2025-12-30,2026-01-06,2025-12-30,FEAT001,SEC001,Technology,0.43005,0.43005,0.07389,0,0,0,0
2025-12-31,2026-01-07,2026-01-02,FEAT001,SEC001,Technology,0.44047,0.44047,0.03744,0,0,0,0
2026-01-01,2026-01-08,2026-01-01,FEAT001,SEC001,Technology,0.39704,0.39704,0.02384,0,0,0,0
2026-01-02,2026-01-09,2026-01-02,FEAT001,SEC001,Technology,0.08522,0.08522,0.08537,0,0,0,0
2026-01-05,2026-01-12,2026-01-05,FEAT001,SEC001,Technology,0.25561,0.25561,-0.01871,0,0,0,0
2026-01-06,2026-01-13,2026-01-06,FEAT001,SEC001,Technology,0.24056,0.24056,-0.02621,0,0,0,0
2026-01-07,2026-01-14,2026-01-07,FEAT001,SEC001,Technology,0.02138,0.02138,0.00914,0,0,0,0
2026-01-08,2026-01-15,2026-01-08,FEAT001,SEC001,Technology,-0.18924,-0.18924,-0.03702,0,0,0,0
2026-01-09,2026-01-16,2026-01-09,FEAT001,SEC001,Technology,-0.29395,-0.29395,-0.05171,0,0,0,0
2026-01-12,2026-01-19,2026-01-12,FEAT001,SEC001,Technology,-0.23735,-0.23735,0.07141,0,0,0,0
2026-01-13,2026-01-20,2026-01-13,FEAT001,SEC001,Technology,-0.09344,-0.09344,0.07664,0,0,0,0
2026-01-14,2026-01-21,2026-01-14,FEAT001,SEC001,Technology,0.00464,0.00464,0.01457,0,0,0,0
2026-01-15,2026-01-22,2026-01-15,FEAT001,SEC001,Technology,-0.03511,-0.03511,-0.0134,0,0,0,0
2026-01-16,2026-01-23,2026-01-17,FEAT001,SEC001,Technology,0.26436,0.26436,0.01058,0,0,0,0
2026-01-19,2026-01-26,2026-01-19,FEAT001,SEC001,Technology,0.08753,0.08753,0.02446,0,0,0,0
2026-01-20,2026-01-27,2026-01-21,FEAT001,SEC001,Technology,0.13353,0.13353,-0.01231,0,0,0,0
2026-01-21,2026-01-28,2026-01-21,FEAT001,SEC001,Technology,0.54169,0.54169,0.07021,0,0,0,0
2026-01-22,2026-01-29,2026-01-22,FEAT001,SEC001,Technology,0.47636,0.47636,0.04696,0,0,0,0
2026-01-23,2026-01-30,2026-01-24,FEAT001,SEC001,Technology,0.37228,0.37228,0.02522,0,0,0,0
2026-01-26,2026-02-02,2026-01-27,FEAT001,SEC001,Technology,0.41711,0.41711,0.00501,0,0,0,0
2026-01-27,2026-02-03,2026-01-28,FEAT001,SEC001,Technology,0.12848,0.12848,0.02087,0,0,0,0
2026-01-28,2026-02-04,2026-01-28,FEAT001,SEC001,Technology,-0.08617,-0.08617,0.05983,0,0,0,0
2026-01-29,2026-02-05,2026-01-29,FEAT001,SEC001,Technology,0.3094,0.3094,0.03299,0,0,0,0
2026-01-30,2026-02-06,2026-02-01,FEAT001,SEC001,Technology,0.47248,0.47248,0.04168,0,0,0,0
2026-02-02,2026-02-09,2026-02-05,FEAT001,SEC001,Technology,0.77467,0.77467,0.05005,0,0,0,0
2026-02-03,2026-02-10,2026-02-04,FEAT001,SEC001,Technology,0.73941,0.73941,0.11228,0,0,0,0
2026-02-04,2026-02-11,2026-02-05,FEAT001,SEC001,Technology,0.33326,0.33326,0.00368,0,0,0,0
2026-02-05,2026-02-12,2026-02-05,FEAT001,SEC001,Technology,0.5754,0.5754,-0.00303,0,0,0,0
2026-02-06,2026-02-13,2026-02-06,FEAT001,SEC001,Technology,0.85236,0.85236,0.07455,0,0,0,0
2026-02-09,2026-02-16,2026-02-10,FEAT001,SEC001,Technology,0.66496,0.66496,0.05374,0,0,0,0
2026-02-10,2026-02-17,2026-02-10,FEAT001,SEC001,Technology,0.80137,0.80137,0.02658,0,0,0,0
2026-02-11,2026-02-18,2026-02-14,FEAT001,SEC001,Technology,0.39531,0.39531,0.06864,0,0,0,0
2026-02-12,2026-02-19,2026-02-13,FEAT001,SEC001,Technology,0.35611,0.35611,0.00955,0,0,0,0
2026-02-13,2026-02-20,2026-02-13,FEAT001,SEC001,Technology,0.53019,0.53019,0.03107,0,0,0,0
2026-02-16,2026-02-23,2026-02-16,FEAT001,SEC001,Technology,0.43908,0.43908,0.04486,0,0,0,0
2026-02-17,2026-02-24,2026-02-17,FEAT001,SEC001,Technology,0.28791,0.28791,0.03969,0,0,0,0
2026-02-18,2026-02-25,2026-02-19,FEAT001,SEC001,Technology,0.34292,0.34292,0.06278,0,0,0,0
2026-02-19,2026-02-26,2026-02-21,FEAT001,SEC001,Technology,0.20203,0.20203,0.04708,0,0,0,0
2026-02-20,2026-02-27,2026-02-21,FEAT001,SEC001,Technology,,,-0.03899,1,0,0,0
2026-02-23,2026-03-02,2026-02-23,FEAT001,SEC001,Technology,0.0747,0.0747,0.04064,0,0,0,0
2026-02-24,2026-03-03,2026-02-24,FEAT001,SEC001,Technology,0.14633,0.14633,0.01965,0,0,0,0
2026-02-25,2026-03-04,2026-02-25,FEAT001,SEC001,Technology,0.22068,0.22068,-0.01359,0,0,0,0
2026-02-26,2026-03-05,2026-02-26,FEAT001,SEC001,Technology,-0.16398,-0.16398,-0.03643,0,0,0,0
2026-02-27,2026-03-06,2026-02-27,FEAT001,SEC001,Technology,-0.56237,-0.56237,-0.02786,0,0,0,0
2025-10-01,2025-10-08,2025-10-01,FEAT001,SEC002,Consumer,-0.4824,-0.4824,0.01413,0,0,0,0
2025-10-02,2025-10-09,2025-10-02,FEAT001,SEC002,Consumer,-0.0077,-0.0077,-0.06427,0,0,0,0
2025-10-03,2025-10-10,2025-10-03,FEAT001,SEC002,Consumer,-0.92185,-0.92185,-0.08138,0,0,0,0
2025-10-06,2025-10-13,2025-10-06,FEAT001,SEC002,Consumer,-0.28735,-0.28735,0.0,0,0,0,0
2025-10-07,2025-10-14,2025-10-08,FEAT001,SEC002,Consumer,-0.61665,-0.61665,-0.04677,0,0,0,0
2025-10-08,2025-10-15,2025-10-08,FEAT001,SEC002,Consumer,-0.30755,-0.30755,-0.0344,0,1,0,0
2025-10-09,2025-10-16,2025-10-11,FEAT001,SEC002,Consumer,-0.50945,-0.50945,-0.01137,0,0,0,0
2025-10-10,2025-10-17,2025-10-11,FEAT001,SEC002,Consumer,-0.27431,-0.27431,0.02644,0,0,0,0
2025-10-13,2025-10-20,2025-10-14,FEAT001,SEC002,Consumer,-0.12344,-0.12344,-0.00146,0,0,0,0
2025-10-14,2025-10-21,2025-10-14,FEAT001,SEC002,Consumer,-0.04083,-0.04083,-0.03392,0,0,0,0
2025-10-15,2025-10-22,2025-10-17,FEAT001,SEC002,Consumer,-0.36582,-0.36582,-0.04183,0,0,0,0
2025-10-16,2025-10-23,2025-10-16,FEAT001,SEC002,Consumer,-0.01416,-0.01416,0.03043,0,0,0,0
2025-10-17,2025-10-24,2025-10-19,FEAT001,SEC002,Consumer,-0.33178,-0.33178,0.0601,0,0,0,0
2025-10-20,2025-10-27,2025-10-21,FEAT001,SEC002,Consumer,-0.09243,-0.09243,-0.02626,0,0,0,0
2025-10-21,2025-10-28,2025-10-21,FEAT001,SEC002,Consumer,-0.06439,-0.06439,-0.0163,0,0,0,0
2025-10-22,2025-10-29,2025-10-23,FEAT001,SEC002,Consumer,0.48978,0.48978,-0.02026,0,0,0,0
2025-10-23,2025-10-30,2025-10-26,FEAT001,SEC002,Consumer,0.76786,0.76786,0.03392,0,0,0,0
2025-10-24,2025-10-31,2025-10-24,FEAT001,SEC002,Consumer,0.67099,0.67099,0.02726,0,0,0,0
2025-10-27,2025-11-03,2025-10-27,FEAT001,SEC002,Consumer,0.95727,0.95727,0.00069,0,0,0,0
2025-10-28,2025-11-04,2025-10-29,FEAT001,SEC002,Consumer,0.38789,0.38789,0.01521,0,0,0,0
2025-10-29,2025-11-05,2025-10-29,FEAT001,SEC002,Consumer,-0.28667,-0.28667,-0.00899,0,0,0,0
2025-10-30,2025-11-06,2025-10-31,FEAT001,SEC002,Consumer,-0.13517,-0.13517,0.02291,0,0,0,0
2025-10-31,2025-11-07,2025-10-31,FEAT001,SEC002,Consumer,-0.2004,-0.2004,-0.12101,0,0,0,0
2025-11-03,2025-11-10,2025-11-03,FEAT001,SEC002,Consumer,-0.31644,-0.31644,-0.00101,0,0,0,0
2025-11-04,2025-11-11,2025-11-04,FEAT001,SEC002,Consumer,0.11987,0.11987,-0.00308,0,0,0,0
2025-11-05,2025-11-12,2025-11-06,FEAT001,SEC002,Consumer,0.18051,0.18051,0.04511,0,0,0,0
2025-11-06,2025-11-13,2025-11-08,FEAT001,SEC002,Consumer,-0.01049,-0.01049,-0.05633,0,0,0,0
2025-11-07,2025-11-14,2025-11-09,FEAT001,SEC002,Consumer,-0.31508,-0.31508,-0.02352,0,0,0,0
2025-11-10,2025-11-17,2025-11-11,FEAT001,SEC002,Consumer,-0.45907,-0.45907,-0.01216,0,0,0,0
2025-11-11,2025-11-18,2025-11-11,FEAT001,SEC002,Consumer,-0.27583,-0.27583,0.05607,0,0,0,0
2025-11-12,2025-11-19,2025-11-13,FEAT001,SEC002,Consumer,-0.08222,-0.08222,-0.08318,0,0,0,0
2025-11-13,2025-11-20,2025-11-14,FEAT001,SEC002,Consumer,0.36452,0.36452,-0.00376,0,0,0,0
2025-11-14,2025-11-21,2025-11-15,FEAT001,SEC002,Consumer,0.83801,0.83801,0.08766,0,0,0,0
2025-11-17,2025-11-24,2025-11-19,FEAT001,SEC002,Consumer,0.83157,0.83157,0.07201,0,0,0,0
2025-11-18,2025-11-25,2025-11-18,FEAT001,SEC002,Consumer,0.68675,0.68675,0.00531,0,0,0,0
2025-11-19,2025-11-26,2025-11-19,FEAT001,SEC002,Consumer,0.34599,0.34599,-0.00369,0,0,0,0
2025-11-20,2025-11-27,2025-11-21,FEAT001,SEC002,Consumer,0.44589,0.44589,0.04871,0,0,0,0
2025-11-21,2025-11-28,2025-11-21,FEAT001,SEC002,Consumer,0.34492,0.34492,0.02942,0,0,0,0
2025-11-24,2025-12-01,2025-11-26,FEAT001,SEC002,Consumer,0.28689,0.28689,0.02735,0,0,0,0
2025-11-25,2025-12-02,2025-11-25,FEAT001,SEC002,Consumer,0.52763,0.52763,-0.01047,0,0,0,0
2025-11-26,2025-12-03,2025-11-27,FEAT001,SEC002,Consumer,0.47433,0.47433,0.07819,0,0,0,0
2025-11-27,2025-12-04,2025-11-27,FEAT001,SEC002,Consumer,-0.14854,-0.14854,-0.01127,0,0,0,0
2025-11-28,2025-12-05,2025-11-29,FEAT001,SEC002,Consumer,-0.4475,-0.4475,-0.0188,0,0,0,0
2025-12-01,2025-12-08,2025-12-02,FEAT001,SEC002,Consumer,-0.72379,-0.72379,-0.07835,0,0,0,0
2025-12-02,2025-12-09,2025-12-05,FEAT001,SEC002,Consumer,-0.33525,-0.33525,-0.05243,0,0,0,0
2025-12-03,2025-12-10,2025-12-04,FEAT001,SEC002,Consumer,-0.49646,-0.49646,0.01381,0,0,0,0
2025-12-04,2025-12-11,2025-12-05,FEAT001,SEC002,Consumer,-0.07296,-0.07296,0.04161,0,0,0,0
2025-12-05,2025-12-12,2025-12-06,FEAT001,SEC002,Consumer,,,-0.02176,1,0,0,0
2025-12-08,2025-12-15,2025-12-09,FEAT001,SEC002,Consumer,,,-0.00019,1,0,0,0
2025-12-09,2025-12-16,2025-12-10,FEAT001,SEC002,Consumer,-0.53046,-0.53046,0.00951,0,0,0,0
2025-12-10,2025-12-17,2025-12-10,FEAT001,SEC002,Consumer,-0.50379,-0.50379,0.00759,0,0,0,0
2025-12-11,2025-12-18,2025-12-12,FEAT001,SEC002,Consumer,-0.23003,-0.23003,-0.03722,0,0,0,0
2025-12-12,2025-12-19,2025-12-15,FEAT001,SEC002,Consumer,-0.26897,-0.26897,-0.04954,0,0,0,0
2025-12-15,2025-12-22,2025-12-15,FEAT001,SEC002,Consumer,0.03548,0.03548,0.09061,0,0,0,0
2025-12-16,2025-12-23,2025-12-18,FEAT001,SEC002,Consumer,-0.47869,-0.47869,0.01267,0,0,0,0
2025-12-17,2025-12-24,2025-12-19,FEAT001,SEC002,Consumer,-0.39882,-0.39882,0.00888,0,0,0,0
2025-12-18,2025-12-25,2025-12-20,FEAT001,SEC002,Consumer,0.1592,0.1592,-0.00289,0,0,0,0
2025-12-19,2025-12-26,2025-12-19,FEAT001,SEC002,Consumer,0.04247,0.04247,0.06322,0,0,0,0
2025-12-22,2025-12-29,2025-12-22,FEAT001,SEC002,Consumer,0.30897,0.30897,0.01105,0,0,0,0
2025-12-23,2025-12-30,2025-12-23,FEAT001,SEC002,Consumer,0.08165,0.08165,0.02159,0,0,0,0
2025-12-24,2025-12-31,2025-12-26,FEAT001,SEC002,Consumer,-0.51853,-0.51853,0.01117,0,0,0,0
2025-12-25,2026-01-01,2025-12-27,FEAT001,SEC002,Consumer,-0.24379,-0.24379,-0.02818,0,0,0,0
2025-12-26,2026-01-02,2025-12-26,FEAT001,SEC002,Consumer,0.05532,0.05532,0.01579,0,0,0,0
2025-12-29,2026-01-05,2025-12-29,FEAT001,SEC002,Consumer,-0.29004,-0.29004,-0.03799,0,0,0,0
2025-12-30,2026-01-06,2025-12-31,FEAT001,SEC002,Consumer,-0.36735,-0.36735,-0.06115,0,0,0,0
2025-12-31,2026-01-07,2025-12-31,FEAT001,SEC002,Consumer,-0.44175,-0.44175,-0.0369,0,0,0,0
2026-01-01,2026-01-08,2026-01-03,FEAT001,SEC002,Consumer,-0.32375,-0.32375,-0.05008,0,0,0,0
2026-01-02,2026-01-09,2026-01-02,FEAT001,SEC002,Consumer,-0.96864,-0.96864,-0.03008,0,0,0,0
2026-01-05,2026-01-12,2026-01-05,FEAT001,SEC002,Consumer,-0.57304,-0.57304,-0.02445,0,0,0,0
2026-01-06,2026-01-13,2026-01-06,FEAT001,SEC002,Consumer,-0.65858,-0.65858,-0.04497,0,0,0,0
2026-01-07,2026-01-14,2026-01-09,FEAT001,SEC002,Consumer,-0.34328,-0.34328,0.02829,0,0,0,0
2026-01-08,2026-01-15,2026-01-08,FEAT001,SEC002,Consumer,0.0213,0.0213,0.00369,0,0,0,0
2026-01-09,2026-01-16,2026-01-09,FEAT001,SEC002,Consumer,-0.0607,-0.0607,-0.08182,0,0,0,0
2026-01-12,2026-01-19,2026-01-12,FEAT001,SEC002,Consumer,0.56921,0.56921,0.02036,0,0,0,0
2026-01-13,2026-01-20,2026-01-14,FEAT001,SEC002,Consumer,0.55081,0.55081,0.02481,0,0,0,0
2026-01-14,2026-01-21,2026-01-16,FEAT001,SEC002,Consumer,0.49993,0.49993,-0.02464,0,0,0,0
2026-01-15,2026-01-22,2026-01-16,FEAT001,SEC002,Consumer,0.47823,0.47823,-0.01663,0,0,0,0
2026-01-16,2026-01-23,2026-01-16,FEAT001,SEC002,Consumer,0.15005,0.15005,-0.00499,0,0,0,0
2026-01-19,2026-01-26,2026-01-20,FEAT001,SEC002,Consumer,-0.18161,-0.18161,0.0209,0,0,0,0
2026-01-20,2026-01-27,2026-01-20,FEAT001,SEC002,Consumer,-0.68677,-0.68677,-0.03647,0,0,0,0
2026-01-21,2026-01-28,2026-01-21,FEAT001,SEC002,Consumer,-0.33758,-0.33758,-0.02107,0,0,0,0
2026-01-22,2026-01-29,2026-01-23,FEAT001,SEC002,Consumer,0.02078,0.02078,-0.02828,0,0,0,0
2026-01-23,2026-01-30,2026-01-23,FEAT001,SEC002,Consumer,-0.62181,-0.62181,-0.0133,0,0,0,0
2026-01-26,2026-02-02,2026-01-26,FEAT001,SEC002,Consumer,-0.38469,-0.38469,0.00228,0,0,0,0
2026-01-27,2026-02-03,2026-01-27,FEAT001,SEC002,Consumer,-0.1169,-0.1169,0.00878,0,0,0,0
2026-01-28,2026-02-04,2026-01-28,FEAT001,SEC002,Consumer,-0.42266,-0.42266,-0.0818,0,0,0,0
2026-01-29,2026-02-05,2026-01-29,FEAT001,SEC002,Consumer,0.13611,0.13611,0.02023,0,0,0,0
2026-01-30,2026-02-06,2026-01-30,FEAT001,SEC002,Consumer,0.25863,0.25863,0.05489,0,0,0,0
2026-02-02,2026-02-09,2026-02-04,FEAT001,SEC002,Consumer,0.31228,0.31228,-0.02007,0,0,0,0
2026-02-03,2026-02-10,2026-02-03,FEAT001,SEC002,Consumer,0.68418,0.68418,0.07359,0,0,0,0
2026-02-04,2026-02-11,2026-02-04,FEAT001,SEC002,Consumer,0.1739,0.1739,-0.05213,0,0,0,0
2026-02-05,2026-02-12,2026-02-06,FEAT001,SEC002,Consumer,0.10729,0.10729,-0.08652,0,0,0,0
2026-02-06,2026-02-13,2026-02-06,FEAT001,SEC002,Consumer,0.05599,0.05599,-0.04713,0,0,0,0
2026-02-09,2026-02-16,2026-02-10,FEAT001,SEC002,Consumer,-0.24467,-0.24467,0.04124,0,0,0,0
2026-02-10,2026-02-17,2026-02-10,FEAT001,SEC002,Consumer,-0.52569,-0.52569,-0.01895,0,0,0,0
2026-02-11,2026-02-18,2026-02-11,FEAT001,SEC002,Consumer,-0.15787,-0.15787,0.00128,0,0,0,0
2026-02-12,2026-02-19,2026-02-12,FEAT001,SEC002,Consumer,0.03058,0.03058,0.04945,0,0,0,0
2026-02-13,2026-02-20,2026-02-13,FEAT001,SEC002,Consumer,0.07156,0.07156,0.03634,0,0,0,0
2026-02-16,2026-02-23,2026-02-17,FEAT001,SEC002,Consumer,0.11136,0.11136,-0.07176,0,0,0,0
2026-02-17,2026-02-24,2026-02-17,FEAT001,SEC002,Consumer,0.48781,0.48781,0.01237,0,0,0,0
2026-02-18,2026-02-25,2026-02-18,FEAT001,SEC002,Consumer,0.69856,0.69856,0.09195,0,0,0,0
2026-02-19,2026-02-26,2026-02-19,FEAT001,SEC002,Consumer,0.34862,0.34862,-0.00607,0,0,0,0
2026-02-20,2026-02-27,2026-02-23,FEAT001,SEC002,Consumer,0.52577,0.52577,-0.0217,0,0,0,0
2026-02-23,2026-03-02,2026-02-23,FEAT001,SEC002,Consumer,0.909,0.909,0.11278,0,0,0,0
2026-02-24,2026-03-03,2026-02-25,FEAT001,SEC002,Consumer,0.76555,0.76555,0.02822,0,0,0,0
2026-02-25,2026-03-04,2026-02-25,FEAT001,SEC002,Consumer,0.82525,0.82525,0.05502,0,0,0,0
2026-02-26,2026-03-05,2026-02-28,FEAT001,SEC002,Consumer,0.24031,0.24031,0.0498,0,0,0,0
2026-02-27,2026-03-06,2026-02-27,FEAT001,SEC002,Consumer,0.59494,0.59494,-0.0243,0,0,0,0
2025-10-01,2025-10-08,2025-10-01,FEAT001,SEC003,Healthcare,-0.79137,-0.79137,-0.12287,0,0,0,0
2025-10-02,2025-10-09,2025-10-03,FEAT001,SEC003,Healthcare,-0.10918,-0.10918,0.06552,0,0,0,0
2025-10-03,2025-10-10,2025-10-03,FEAT001,SEC003,Healthcare,-0.04859,-0.04859,0.04314,0,0,0,0
2025-10-06,2025-10-13,2025-10-06,FEAT001,SEC003,Healthcare,0.06565,0.06565,0.03906,0,0,0,0
2025-10-07,2025-10-14,2025-10-09,FEAT001,SEC003,Healthcare,0.014,0.014,0.03153,0,0,0,0
2025-10-08,2025-10-15,2025-10-10,FEAT001,SEC003,Healthcare,0.17084,0.17084,0.02273,0,0,0,0
2025-10-09,2025-10-16,2025-10-10,FEAT001,SEC003,Healthcare,0.1269,0.1269,0.01673,0,0,0,0
2025-10-10,2025-10-17,2025-10-10,FEAT001,SEC003,Healthcare,0.45529,0.45529,0.01155,0,0,0,0
2025-10-13,2025-10-20,2025-10-15,FEAT001,SEC003,Healthcare,0.53853,0.53853,-0.0073,0,0,1,0
2025-10-14,2025-10-21,2025-10-14,FEAT001,SEC003,Healthcare,0.5389,0.5389,-0.0117,0,0,0,0
2025-10-15,2025-10-22,2025-10-15,FEAT001,SEC003,Healthcare,0.51562,0.51562,-0.06273,0,0,0,0
2025-10-16,2025-10-23,2025-10-16,FEAT001,SEC003,Healthcare,0.32774,0.32774,0.03017,0,0,0,0
